store_name,Mean,Sum,Max,Cluster
RULMACIASIS ,111.85,447.4,132.5,prata
RUMAR ,97.325,2141.15,161.91,prata
RUMOU VUREU ,125.0,125.0,125.0,prata
RUSMIURIMA RIRIOU ,56.0,392.0,104.0,bronze
RUSU ,100.07997568881687,123498.69000000002,174.8,prata
RUSURVI ,125.0,1250.0,149.0,prata
RUSURVI FLIRIA,87.79166666666667,526.75,153.0,ouro
SALITO ,112.81689655172626,487481.8100000092,174.8,prata
SALVAI OURAMG ,94.25,188.5,112.0,bronze
SARIVIGIMZI ,164.9,164.9,164.9,prata
SFAZI GRALA,51.58264840182661,22593.200000000055,154.3,ouro
SILAMIS ,127.45,254.9,155.4,prata
SILSI GRALA,43.04603325415699,36244.760000000184,174.2,ouro
SIM RIRZIMI ,65.3749720670391,11702.119999999999,145.97,ouro
SIMUI LIMOI ,133.23333333333332,799.4,169.9,prata
SIRGU PASMPEOL ,99.5,199.0,99.5,bronze
SIRLE FRA ,149.0,149.0,149.0,prata
SIRSUMG ,99.0,297.0,99.0,bronze
SIRVUMU AMILAI ,75.1885873347242,108045.99999999869,171.3,ouro
SITAO OUCUS ,65.63997950819672,32032.309999999998,172.1,ouro
SIZ DA IMIA ,69.982,349.91,100.0,bronze
SIZI FOIE ERAMGS ,70.30701754385953,8014.999999999986,163.8,ouro
SIZMUO RICAUMS ,86.51618068704315,319850.3199999985,175.0,ouro
SMIMCU ,79.9,79.9,79.9,bronze
SMIR PIAMU ,167.8,335.6,167.8,prata
SMIRPIAMU ,167.4,669.6,169.9,prata
SMITAUR SMUIGZIUSU ,88.5471962616824,28423.650000000052,173.8,ouro
SPILUMI ,53.0424105421025,247548.92999999237,170.9,ouro
SR MIPICIRAI ,72.17083333333333,1732.1,162.7,ouro
SR SIGIRIMI ,124.86784810126579,98645.59999999998,175.0,prata
SSIRIVSGA ,99.0,297.0,99.0,bronze
STRAMZ ,136.2375,1089.9,170.0,prata
SUCOI LIMTRAS ,39.25103293413167,26219.68999999996,154.2,ouro
SUMIR SIMMPE ,88.38687943262408,12462.549999999996,173.0,ouro
SUPSIO ,39.67053988961284,395316.92999999196,172.4,ouro
SUPUR GRALA,57.02658227848105,4505.100000000003,118.5,bronze
SURIMRI ,149.99,149.99,149.99,prata
SUSM GRALA,53.79559748427667,8553.49999999999,172.3,ouro
SUSMAMA ,139.9,559.6,139.9,prata
SUSZA OIRI ,33.9,33.9,33.9,bronze
SUSZAIGA ,53.621884514433695,204299.37999999238,174.5,ouro
SZIPUAMG MASUCI ,88.91125000000001,711.2900000000001,159.0,ouro
SZIPUAMG RUMRI SIMUI CRUZ ,78.31238095238096,1644.5600000000002,165.97,ouro
SZIPUAMG SIREAR SUA,89.89,539.34,119.4,ouro
TRAF VURGO ,53.664444444444435,2414.8999999999996,105.3,bronze
TRAPRAM POI ,87.96666666666665,527.8,92.6,bronze
TRAZ LOURA RIRMAM ,111.32019704433498,22598.0,175.0,prata
UMACAU ,39.0,78.0,39.0,bronze
UMALACISI ,37.98700000000001,379.87000000000006,59.99,bronze
UMIG ,138.0,414.0,168.0,prata
URPARAI IEUGI PULIMIS ,108.1875,865.5,170.0,prata
USIFLUS ,113.5875,1817.4,169.99,prata
USPIMI PRIMI ,98.0,196.0,98.0,bronze
USPIMI RUPRI MUGRI ,119.93,359.79,119.99,prata
USPIRMU FAMI SMIRU ,65.9,329.5,89.9,bronze
USPUMI RIMAI ,44.73999999999999,1789.5999999999995,112.9,bronze
USPUMUI CIRAICI ,56.301538882804785,205613.2200000031,173.56,ouro
UV LAMU ,99.9,199.8,99.9,bronze
UVURUSM ,85.41185610010477,81909.97000000048,174.95,ouro
VAI RAI ,135.6675,542.67,159.9,prata
VALLUES CIOLA E CIGU CIE ,52.64529411764706,6264.79,130.0,ouro
VAOU SIUOUVUA,50.666666666666664,3648.0,112.0,bronze
VIRIMOU ,85.7544827586207,4973.76,170.09,ouro
VUG U LUV ,50.41635645798044,89388.19999999933,174.0,ouro
VUG UP ,57.77326086956525,29233.270000000015,173.0,ouro
VUSMUR ,119.9,119.9,119.9,prata
VUZPI ,64.51250000000002,1548.3000000000004,126.8,ouro
VUZPI PAZZIS ,74.42236842105264,5656.1,157.0,ouro
ZIAGIA ,69.37196969696967,9157.099999999997,171.0,ouro
ZIM M MUMEUR ,47.61189743589563,176402.0799999933,172.7,ouro
ZIM ME MUMEUR ,61.53492063492062,7753.399999999998,155.0,ouro
ZIMI ZUM ,61.343846153846144,1594.9399999999998,130.0,ouro
ZIPU ,124.2529411764706,2112.3,174.0,prata
ZIRIE ,65.52398373983735,16118.899999999987,171.6,ouro
ZISARIS ,86.86666666666666,781.8,172.7,ouro
ZIVIAIMIS ,69.15690476190473,2904.5899999999983,134.97,ouro
ZIVIMUI ,78.42606595995335,66583.73000000039,174.4,ouro
ZIZULO ,66.66666666666667,200.0,75.0,bronze
ZUPULAR MUC ,90.06258955224015,120683.8700000018,174.98,ouro
ZURAMG CIMUMU ,110.83428571428571,775.84,171.98,prata
ZURAMG CIPICIPIMI ,69.99,69.99,69.99,bronze
ZURAMG GAES ,115.82606060606057,3822.259999999999,170.98,prata
ZURAMG RAI SUA,104.9775,419.91,159.96,prata
ÂRPIR PILMACI ,130.6777777777778,1176.1000000000001,169.9,prata
